Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,India Today Business,BUY,25985.0,27129.8,25714.73,1:4.24,4.41%,STRONG BULLISH,Golden Cross | Resistance at 27000,25997,26847,UPSIDE: 184 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25997 - 26847
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25814.4,25239.0,26308.1,1:1.17,2.23%,NEUTRAL,RSI Overbought | Consolidation Zone,25907,26884,DOWNSIDE: 165 points,"Realty sector gaining traction | DLF, Oberoi up",25907 - 26884
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26356.8,25442.47,26822.86,1:1.96,3.47%,NEUTRAL,Breakout above 26500 | Momentum Building,25880,26870,DOWNSIDE: 160 points,Cement stocks stable | UltraTech holding ground,25880 - 26870
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25861.2,26397.33,25429.36,1:1.24,2.07%,BULLISH,Double Bottom | Reversal Expected,25801,26994,UPSIDE: 131 points,"Chemical sector focus | Atul, Bayer gains on exports",25801 - 26994
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26227.6,25287.08,26592.28,1:2.58,3.59%,NEUTRAL,Head & Shoulders | Downside Risk,25934,26850,DOWNSIDE: 190 points,"FMCG holding support | ITC, HUL steady amid volatility",25934 - 26850
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25580.0,24613.74,25897.38,1:3.04,3.78%,BULLISH,Bearish Divergence | Profit Taking,25910,26969,DOWNSIDE: 190 points,DII support strong | Domestic funds accumulating,25910 - 26969
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25904.4,27188.56,25580.7,1:3.97,4.96%,NEUTRAL,Triangle Breakout | Directional Move,25888,26841,UPSIDE: 110 points,Energy stocks leading | Oil majors positive on crude rally,25888 - 26841
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26275.8,27213.58,25924.73,1:2.67,3.57%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25888,26865,UPSIDE: 195 points,Cement stocks stable | UltraTech holding ground,25888 - 26865
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26251.2,25072.76,26636.32,1:3.06,4.49%,NEUTRAL,Bullish Engulfing | Support at 26000,25834,26861,DOWNSIDE: 75 points,DII support strong | Domestic funds accumulating,25834 - 26861
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26362.6,27232.34,25880.88,1:1.81,3.3%,BULLISH,Support Breach | Watch 25800,25818,26983,UPSIDE: 55 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25818 - 26983
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25853.0,25143.73,26363.08,1:1.39,2.74%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25803,26805,DOWNSIDE: 53 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25803 - 26805
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25661.4,24881.31,26010.68,1:2.23,3.04%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25874,26868,DOWNSIDE: 102 points,Telecom strength | Bharti Airtel gains on tariff hikes,25874 - 26868
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26512.8,27556.35,26238.81,1:3.81,3.94%,NEUTRAL,Triangle Breakout | Directional Move,25990,26851,UPSIDE: 84 points,Cement stocks stable | UltraTech holding ground,25990 - 26851
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26198.2,27421.28,25876.04,1:3.8,4.67%,STRONG BULLISH,Support Breach | Watch 25800,25910,26815,UPSIDE: 137 points,FII flows remain positive | Foreign buying continues,25910 - 26815
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26577.6,27479.59,26273.32,1:2.96,3.39%,NEUTRAL,Breakout above 26500 | Momentum Building,25820,26923,UPSIDE: 169 points,Cement stocks stable | UltraTech holding ground,25820 - 26923
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26003.0,25462.18,26428.83,1:1.27,2.08%,NEUTRAL/BEARISH,Moving Average Crossover | Trend Change,25971,26952,DOWNSIDE: 130 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25971 - 26952
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26549.4,25264.43,26834.82,1:4.5,4.84%,BULLISH,Double Bottom | Reversal Expected,25861,26952,DOWNSIDE: 139 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25861 - 26952
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26371.8,27151.38,26010.44,1:2.16,2.96%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25852,26963,UPSIDE: 162 points,Q3 earnings season | Corporate profits robust,25852 - 26963
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26045.2,26878.01,25591.59,1:1.84,3.2%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25852,26822,UPSIDE: 84 points,DII support strong | Domestic funds accumulating,25852 - 26822
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26277.6,27129.73,25759.95,1:1.65,3.24%,BULLISH,Golden Cross | Resistance at 27000,25831,26809,UPSIDE: 180 points,"Realty sector gaining traction | DLF, Oberoi up",25831 - 26809
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26426.0,27333.67,26107.56,1:2.85,3.43%,BULLISH,Golden Cross | Resistance at 27000,25946,26950,UPSIDE: 183 points,Energy stocks leading | Oil majors positive on crude rally,25946 - 26950
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25906.4,26720.91,25619.69,1:2.84,3.14%,NEUTRAL,Bullish Engulfing | Support at 26000,25924,26897,UPSIDE: 161 points,"FMCG holding support | ITC, HUL steady amid volatility",25924 - 26897
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26191.8,25239.59,26667.52,1:2.0,3.64%,NEUTRAL,Head & Shoulders | Downside Risk,25987,26896,DOWNSIDE: 150 points,DII support strong | Domestic funds accumulating,25987 - 26896
2025-01-02,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25882.2,24732.27,26286.09,1:2.85,4.44%,BULLISH,Breakout above 26500 | Momentum Building,25896,26958,DOWNSIDE: 127 points,Q3 earnings season | Corporate profits robust,25896 - 26958
2025-01-03,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26306.6,26923.2,26016.4,1:2.12,2.34%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25884,26912,UPSIDE: 128 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25884 - 26912
2025-01-06,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,25991.0,26875.88,25603.21,1:2.28,3.4%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25934,26813,UPSIDE: 147 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25934 - 26813
2025-01-07,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26391.4,27000.71,26022.56,1:1.65,2.31%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25930,26957,UPSIDE: 154 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25930 - 26957
2025-01-08,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26639.8,26072.3,26979.34,1:1.67,2.13%,NEUTRAL,RSI Overbought | Consolidation Zone,25867,26958,DOWNSIDE: 160 points,Cement stocks stable | UltraTech holding ground,25867 - 26958
2025-01-09,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,25721.2,26855.93,25391.57,1:3.44,4.41%,NEUTRAL/BULLISH,Moving Average Crossover | Trend Change,25800,26808,UPSIDE: 122 points,"FMCG holding support | ITC, HUL steady amid volatility",25800 - 26808
2025-01-10,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26173.6,27429.96,25877.57,1:4.24,4.8%,STRONG BULLISH,Support Breach | Watch 25800,25896,26844,UPSIDE: 175 points,"Realty sector gaining traction | DLF, Oberoi up",25896 - 26844
2025-01-13,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,25782.0,26537.35,25269.57,1:1.47,2.93%,NEUTRAL/BEARISH,Head & Shoulders | Downside Risk,25861,26875,UPSIDE: 177 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25861 - 26875
2025-01-14,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26070.4,26724.9,25713.74,1:1.84,2.51%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25857,26947,UPSIDE: 163 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25857 - 26947
2025-01-15,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26451.8,25454.49,26840.18,1:2.57,3.77%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25815,26904,DOWNSIDE: 108 points,Q3 earnings season | Corporate profits robust,25815 - 26904
2025-01-16,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25870.2,24618.83,26212.35,1:3.66,4.84%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25889,26928,DOWNSIDE: 140 points,"Chemical sector focus | Atul, Bayer gains on exports",25889 - 26928
2025-01-17,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26656.6,27523.75,26192.67,1:1.87,3.25%,MODERATELY BULLISH,Moving Average Crossover | Trend Change,25921,26852,UPSIDE: 192 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25921 - 26852
2025-01-20,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26040.0,27149.35,25629.02,1:2.7,4.26%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25831,26857,UPSIDE: 74 points,DII support strong | Domestic funds accumulating,25831 - 26857
2025-01-21,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26635.4,27941.88,26122.34,1:2.55,4.91%,BULLISH,Bearish Divergence | Profit Taking,25804,26803,UPSIDE: 140 points,FII flows remain positive | Foreign buying continues,25804 - 26803
2025-01-22,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26108.8,25140.42,26623.6,1:1.88,3.71%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25996,26809,DOWNSIDE: 143 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25996 - 26809
2025-01-23,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26378.2,27228.86,26097.45,1:3.03,3.22%,MODERATELY BULLISH,Golden Cross | Resistance at 27000,26000,26880,UPSIDE: 114 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",26000 - 26880
2025-01-24,Friday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25890.6,24804.04,26300.54,1:2.65,4.2%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25980,26854,DOWNSIDE: 160 points,FII flows remain positive | Foreign buying continues,25980 - 26854
2025-01-27,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26637.0,27499.46,26154.98,1:1.79,3.24%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25984,26968,UPSIDE: 87 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25984 - 26968
2025-01-28,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26116.4,27101.05,25664.7,1:2.18,3.77%,BULLISH,Triangle Breakout | Directional Move,25903,26940,UPSIDE: 77 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25903 - 26940
2025-01-29,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26224.8,26800.02,25756.12,1:1.23,2.19%,NEUTRAL,Head & Shoulders | Downside Risk,25972,26873,UPSIDE: 173 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25972 - 26873
2025-01-30,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26406.2,27318.57,26011.2,1:2.31,3.46%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25900,26902,UPSIDE: 108 points,Cement stocks stable | UltraTech holding ground,25900 - 26902
2025-01-31,Friday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26597.6,25313.53,27014.73,1:3.08,4.83%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25925,26991,DOWNSIDE: 103 points,Energy stocks leading | Oil majors positive on crude rally,25925 - 26991
2025-02-03,Monday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26108.0,26870.29,25730.6,1:2.02,2.92%,STRONG BULLISH,Head & Shoulders | Downside Risk,25892,26871,UPSIDE: 63 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25892 - 26871
2025-02-04,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26328.4,25635.91,26843.15,1:1.35,2.63%,NEUTRAL/BEARISH,Breakout above 26500 | Momentum Building,25852,26983,DOWNSIDE: 140 points,DII support strong | Domestic funds accumulating,25852 - 26983
2025-02-05,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25920.8,27021.1,25618.79,1:3.64,4.24%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25989,26845,UPSIDE: 154 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25989 - 26845
2025-02-06,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26099.2,26844.48,25592.78,1:1.47,2.86%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25845,26814,UPSIDE: 90 points,"Chemical sector focus | Atul, Bayer gains on exports",25845 - 26814
2025-02-07,Friday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26390.6,27278.02,25922.89,1:1.9,3.36%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25817,26853,UPSIDE: 200 points,Telecom strength | Bharti Airtel gains on tariff hikes,25817 - 26853
2025-02-10,Monday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26673.0,27498.92,26193.14,1:1.72,3.1%,MODERATELY BULLISH,Bullish Engulfing | Support at 26000,25896,26881,UPSIDE: 166 points,Telecom strength | Bharti Airtel gains on tariff hikes,25896 - 26881
2025-02-11,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,25851.4,25177.46,26117.68,1:2.53,2.61%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25879,26849,DOWNSIDE: 63 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25879 - 26849
2025-02-12,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26465.8,27209.16,26029.15,1:1.7,2.81%,BULLISH,Breakout above 26500 | Momentum Building,25923,26923,UPSIDE: 81 points,"Chemical sector focus | Atul, Bayer gains on exports",25923 - 26923
2025-02-13,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25896.2,26966.65,25406.93,1:2.19,4.13%,NEUTRAL,Bearish Divergence | Profit Taking,25912,26924,UPSIDE: 106 points,"Chemical sector focus | Atul, Bayer gains on exports",25912 - 26924
2025-02-14,Friday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26600.6,25657.36,26961.85,1:2.61,3.55%,NEUTRAL,Head & Shoulders | Downside Risk,25938,26950,DOWNSIDE: 186 points,FII flows remain positive | Foreign buying continues,25938 - 26950
2025-02-17,Monday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26128.0,25579.45,26536.17,1:1.34,2.1%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25903,26847,DOWNSIDE: 117 points,FII flows remain positive | Foreign buying continues,25903 - 26847
2025-02-18,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26073.4,27316.18,25626.41,1:2.78,4.77%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25918,26982,UPSIDE: 187 points,FII flows remain positive | Foreign buying continues,25918 - 26982
2025-02-19,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26175.8,24884.57,26655.66,1:2.69,4.93%,NEUTRAL,Bullish Engulfing | Support at 26000,25824,26983,DOWNSIDE: 117 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25824 - 26983
2025-02-20,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26444.2,27403.96,26109.45,1:2.87,3.63%,BULLISH,Higher High-Higher Low | Bull Run Continues,25955,26881,UPSIDE: 158 points,Energy stocks leading | Oil majors positive on crude rally,25955 - 26881
2025-02-21,Friday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,25946.6,25196.33,26283.02,1:2.23,2.89%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25888,26847,DOWNSIDE: 142 points,Q3 earnings season | Corporate profits robust,25888 - 26847
2025-02-24,Monday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26452.0,27352.86,26076.99,1:2.4,3.41%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25979,26949,UPSIDE: 168 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25979 - 26949
2025-02-25,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26005.4,26835.43,25552.86,1:1.83,3.19%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25815,26958,UPSIDE: 142 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25815 - 26958
2025-02-26,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26769.8,27611.01,26288.1,1:1.75,3.14%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25807,26842,UPSIDE: 164 points,Telecom strength | Bharti Airtel gains on tariff hikes,25807 - 26842
2025-02-27,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26784.2,27330.48,26373.79,1:1.33,2.04%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25991,26881,UPSIDE: 79 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25991 - 26881
2025-02-28,Friday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26099.6,26740.54,25830.64,1:2.38,2.46%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25994,26883,UPSIDE: 154 points,"FMCG holding support | ITC, HUL steady amid volatility",25994 - 26883
2025-03-03,Monday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26069.0,27238.69,25710.41,1:3.26,4.49%,STRONG BULLISH,Double Bottom | Reversal Expected,25930,26999,UPSIDE: 61 points,"Realty sector gaining traction | DLF, Oberoi up",25930 - 26999
2025-03-04,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26470.4,25853.5,26922.41,1:1.36,2.33%,BULLISH,Support Breach | Watch 25800,25860,26859,DOWNSIDE: 71 points,Energy stocks leading | Oil majors positive on crude rally,25860 - 26859
2025-03-05,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26408.8,27239.39,26141.47,1:3.11,3.15%,NEUTRAL,Support Breach | Watch 25800,25977,26877,UPSIDE: 153 points,Energy stocks leading | Oil majors positive on crude rally,25977 - 26877
2025-03-06,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26650.2,27521.49,26137.42,1:1.7,3.27%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25882,26926,UPSIDE: 170 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25882 - 26926
2025-03-07,Friday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26538.6,27363.91,26186.45,1:2.34,3.11%,NEUTRAL,Head & Shoulders | Downside Risk,25833,26917,UPSIDE: 51 points,FII flows remain positive | Foreign buying continues,25833 - 26917
2025-03-10,Monday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26687.0,27809.45,26409.97,1:4.05,4.21%,NEUTRAL,Triangle Breakout | Directional Move,25868,26910,UPSIDE: 188 points,Q3 earnings season | Corporate profits robust,25868 - 26910
2025-03-11,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,25981.4,27219.78,25543.37,1:2.83,4.77%,MODERATELY BULLISH,Golden Cross | Resistance at 27000,25875,26933,UPSIDE: 190 points,Cement stocks stable | UltraTech holding ground,25875 - 26933
2025-03-12,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26075.8,27140.79,25562.38,1:2.07,4.08%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25929,26885,UPSIDE: 138 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25929 - 26885
2025-03-13,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26495.2,27242.76,26147.34,1:2.15,2.82%,NEUTRAL,Moving Average Crossover | Trend Change,25866,26816,UPSIDE: 156 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25866 - 26816
2025-03-14,Friday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26425.6,25182.98,26716.86,1:4.27,4.7%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25897,26994,DOWNSIDE: 136 points,Energy stocks leading | Oil majors positive on crude rally,25897 - 26994
2025-03-17,Monday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26869.0,25737.14,27372.75,1:2.25,4.21%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25817,26876,DOWNSIDE: 113 points,"FMCG holding support | ITC, HUL steady amid volatility",25817 - 26876
2025-03-18,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26703.4,27265.66,26174.4,1:1.06,2.11%,NEUTRAL/BEARISH,Moving Average Crossover | Trend Change,25927,26861,UPSIDE: 135 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25927 - 26861
2025-03-19,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26140.8,26836.72,25751.24,1:1.79,2.66%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25819,26891,UPSIDE: 80 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25819 - 26891
2025-03-20,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26875.2,25738.98,27239.67,1:3.12,4.23%,NEUTRAL,Breakout above 26500 | Momentum Building,25925,27000,DOWNSIDE: 63 points,Q3 earnings season | Corporate profits robust,25925 - 27000
2025-03-21,Friday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26641.6,25815.05,27010.74,1:2.24,3.1%,BULLISH,Support Breach | Watch 25800,25857,26956,DOWNSIDE: 80 points,"Realty sector gaining traction | DLF, Oberoi up",25857 - 26956
2025-03-24,Monday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26851.0,26210.36,27210.39,1:1.78,2.39%,NEUTRAL,Bearish Divergence | Profit Taking,25875,26854,DOWNSIDE: 196 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25875 - 26854
2025-03-25,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,27006.4,26361.87,27333.23,1:1.97,2.39%,BULLISH,RSI Overbought | Consolidation Zone,25939,26835,DOWNSIDE: 86 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25939 - 26835
